,Car,Manufacturer,MPG,Weight,bmw,#f1aba6,ford,#c8c988,honda,#8dd7b7,mercedes,#8cd1f4,toyota,#eeb4f4
5,torino,ford,17,3449,mpg,Weight,mpg,Weight,mpg,Weight,mpg,Weight,mpg,Weight
6,galaxie 500,ford,15,4341,#N/A,#N/A,15,4341,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,torino (sw),ford,NA,4034,#N/A,#N/A,14,4034,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,mustang boss 302,ford,NA,3353,#N/A,#N/A,29.9,3353,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21,corona mark ii,toyota,24,2372,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,2372
24,maverick,ford,21,2587,#N/A,#N/A,21,2587,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30,2002,bmw,26,2234,26,2234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32,f250,ford,10,4615,#N/A,#N/A,10,4615,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38,corona,toyota,25,2228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25,2228
39,pinto,ford,25,2046,#N/A,#N/A,25,2046,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
44,torino 500,ford,19,3302,#N/A,#N/A,19,3302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48,galaxie 500,ford,14,4154,#N/A,#N/A,14,4154,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51,country squire (sw),ford,13,4746,#N/A,#N/A,13,4746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56,mustang,ford,18,3139,#N/A,#N/A,18,3139,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
61,corolla 1200,toyota,31,1773,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31,1773
65,corona hardtop,toyota,24,2278,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,2278
69,pinto runabout,ford,21,2226,#N/A,#N/A,21,2226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
73,galaxie 500,ford,14,4129,#N/A,#N/A,14,4129,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
82,gran torino (sw),ford,13,4294,#N/A,#N/A,13,4294,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
88,pinto (sw),ford,22,2395,#N/A,#N/A,22,2395,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
90,corona mark ii (sw),toyota,23,2506,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23,2506
92,corolla 1600 (sw),toyota,27,2100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27,2100
96,gran torino,ford,14,4042,#N/A,#N/A,14,4042,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
100,ltd,ford,13,4363,#N/A,#N/A,13,4363,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
108,maverick,ford,18,3021,#N/A,#N/A,18,3021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
112,country,ford,12,4906,#N/A,#N/A,12,4906,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
116,carina,toyota,20,2279,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,2279
120,pinto,ford,19,2310,#N/A,#N/A,19,2310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
131,mark ii,toyota,20,2807,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,2807
134,maverick,ford,21,2875,#N/A,#N/A,21,2875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
138,pinto,ford,26,2451,#N/A,#N/A,26,2451,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
139,corolla 1200,toyota,32,1836,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32,1836
144,gran torino,ford,16,4141,#N/A,#N/A,16,4141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
147,gran torino (sw),ford,14,4638,#N/A,#N/A,14,4638,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
152,corona,toyota,31,1649,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31,1649
157,civic,honda,24,2489,#N/A,#N/A,#N/A,#N/A,24,2489,#N/A,#N/A,#N/A,#N/A
163,maverick,ford,15,3158,#N/A,#N/A,15,3158,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
167,ltd,ford,14,4657,#N/A,#N/A,14,4657,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
174,mustang ii,ford,13,3169,#N/A,#N/A,13,3169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
175,corolla,toyota,29,2171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29,2171
176,pinto,ford,23,2639,#N/A,#N/A,23,2639,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
179,corona,toyota,24,2702,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,2702
182,pinto,ford,18,2984,#N/A,#N/A,18,2984,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
189,civic cvcc,honda,33,1795,#N/A,#N/A,#N/A,#N/A,33,1795,#N/A,#N/A,#N/A,#N/A
198,gran torino,ford,14.5,4215,#N/A,#N/A,14.5,4215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
201,maverick,ford,24,3012,#N/A,#N/A,24,3012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
206,civic,honda,33,1795,#N/A,#N/A,#N/A,#N/A,33,1795,#N/A,#N/A,#N/A,#N/A
208,granada ghia,ford,18,3574,#N/A,#N/A,18,3574,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
213,corolla,toyota,28,2155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,2155
214,pinto,ford,26.5,2565,#N/A,#N/A,26.5,2565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
218,mark ii,toyota,19,2930,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,2930
219,280s,mercedes,16.5,3820,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.5,3820,#N/A,#N/A
222,f108,ford,13,3870,#N/A,#N/A,13,3870,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
224,accord cvcc,honda,31.5,2045,#N/A,#N/A,#N/A,#N/A,31.5,2045,#N/A,#N/A,#N/A,#N/A
236,granada,ford,18.5,3525,#N/A,#N/A,18.5,3525,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
240,thunderbird,ford,16,4335,#N/A,#N/A,16,4335,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
243,corolla liftback,toyota,26,2265,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26,2265
244,mustang ii 2+2,ford,25.5,2755,#N/A,#N/A,25.5,2755,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
250,320i,bmw,21.5,2600,21.5,2600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
253,fiesta,ford,36.1,1800,#N/A,#N/A,36.1,1800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
256,civic cvcc,honda,36.1,1800,#N/A,#N/A,#N/A,#N/A,36.1,1800,#N/A,#N/A,#N/A,#N/A
262,fairmont (auto),ford,20.2,2965,#N/A,#N/A,20.2,2965,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
263,fairmont (man),ford,25.1,2720,#N/A,#N/A,25.1,2720,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
272,futura,ford,18.1,3205,#N/A,#N/A,18.1,3205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
275,corona,toyota,27.5,2560,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.5,2560
278,celica gt liftback,toyota,21.1,2515,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.1,2515
287,accord lx,honda,29.5,2135,#N/A,#N/A,#N/A,#N/A,29.5,2135,#N/A,#N/A,#N/A,#N/A
290,fairmont 4,ford,22.3,2890,#N/A,#N/A,22.3,2890,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
294,ltd landau,ford,17.6,3725,#N/A,#N/A,17.6,3725,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
298,country squire (sw),ford,15.5,4054,#N/A,#N/A,15.5,4054,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
305,300d,mercedes,25.4,3530,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.4,3530,#N/A,#N/A
318,corolla tercel,toyota,38.1,1968,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38.1,1968
322,fairmont,ford,26.4,2870,#N/A,#N/A,26.4,2870,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
326,corona liftback,toyota,29.8,2711,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.8,2711
329,corolla,toyota,32.2,2265,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32.2,2265
336,240d,mercedes,30,3250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,3250,#N/A,#N/A
337,civic 1500 gl,honda,44.6,1850,#N/A,#N/A,#N/A,#N/A,44.6,1850,#N/A,#N/A,#N/A,#N/A
344,mustang cobra,ford,23.6,2905,#N/A,#N/A,23.6,2905,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
345,accord,honda,32.4,2290,#N/A,#N/A,#N/A,#N/A,32.4,2290,#N/A,#N/A,#N/A,#N/A
351,starlet,toyota,39.1,1755,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39.1,1755
353,civic 1300,honda,35.1,1760,#N/A,#N/A,#N/A,#N/A,35.1,1760,#N/A,#N/A,#N/A,#N/A
356,tercel,toyota,37.7,2050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37.7,2050
359,escort 4w,ford,34.4,2045,#N/A,#N/A,34.4,2045,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
360,escort 2h,ford,29.9,2380,#N/A,#N/A,29.9,2380,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
363,prelude,honda,33.7,2210,#N/A,#N/A,#N/A,#N/A,33.7,2210,#N/A,#N/A,#N/A,#N/A
364,corolla,toyota,32.4,2350,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32.4,2350
370,cressida,toyota,25.4,2900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.4,2900
374,granada gl,ford,20.2,3060,#N/A,#N/A,20.2,3060,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
382,fairmont futura,ford,24,2865,#N/A,#N/A,24,2865,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
390,accord,honda,36,2205,#N/A,#N/A,#N/A,#N/A,36,2205,#N/A,#N/A,#N/A,#N/A
391,corolla,toyota,34,2245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34,2245
392,civic,honda,38,1965,#N/A,#N/A,#N/A,#N/A,38,1965,#N/A,#N/A,#N/A,#N/A
393,civic (auto),honda,32,1965,#N/A,#N/A,#N/A,#N/A,32,1965,#N/A,#N/A,#N/A,#N/A
398,granada l,ford,22,2835,#N/A,#N/A,22,2835,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
399,celica gt,toyota,32,2665,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32,2665
402,mustang gl,ford,27,2790,#N/A,#N/A,27,2790,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
405,ranger,ford,28,2625,#N/A,#N/A,28,2625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A